"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","1","e2e4","1","1","0","1","1","0","1","1","0","1","0.381331","-1.237679","1","e4e2","e4e1","e2e1","3.109689","2.524510","2.232545","1","1","1","1","1"
"0","Null","c7c5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","f1b5","1","1","0","1","1","0","1","1","0","1","0.381331","-1.237679","1","b5f1","b5b4","b5g1","2.605972","2.153101","1.967061","1","1","1","1","1"
"0","Null","a7a6","0","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b5a4","1","1","0","1","1","0","1","1","0","1","0.381331","-1.237679","1","b5a4","b5a3","b5b4","2.722423","2.218472","2.167385","1","1","1","1","1"
"0","Null","b7b5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b1c3","1","1","0","1","1","0","1","1","0","1","0.381331","-1.237679","1","c3b1","c3c2","c3h1","2.661931","2.212305","1.700827","1","1","1","1","1"
"0","Null","b5a4","0","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c3a4","1","1","1","1","1","0","1","1","0","1","0.381331","-1.237679","1","a4c3","a4c2","a4h1","2.437654","1.894510","1.700827","1","1","1","1","1"
"0","Null","d7d6","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d2d4","1","1","0","1","1","0","1","1","0","1","0.381331","-1.237679","1","d4d2","d4d1","d4d3","2.956182","1.873370","1.802274","1","1","1","1","1"
"0","Null","c5d4","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
