"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","0","e2e4","1","1","0","1","1","0","1","1","0","1","0.094704","-168.899429","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7e5","1","1","0","1","1","0","1","1","0","1","0.094704","-168.899429","1","e5e7","e5e4","e7e4","3.216563","2.577467","2.392376","1","1","1","1","1"
"0","Null","g1f3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d7d6","1","1","0","1","1","0","1","1","0","1","0.094704","-168.899429","1","d7d6","d7h1","d7g1","2.231582","1.700827","1.700827","1","1","1","1","1"
"0","Null","d2d4","0","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c8d7","1","1","0","1","1","0","1","1","0","1","0.094704","-168.899429","1","d7c8","d7h1","d7g1","3.322287","1.700827","1.700827","1","1","1","1","1"
"0","Null","d4e5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d6e5","1","1","1","1","1","0","1","1","0","1","0.094704","-168.899429","1","e5d6","e5e4","e5d6","2.726087","1.837321","1.817391","1","1","1","1","1"
"0","Null","f3e5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b8c6","1","1","0","1","1","0","1","1","0","1","0.094704","-168.899429","1","c6b8","c6h1","c6g1","2.373260","1.700827","1.700827","1","1","1","1","1"
