"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","0","e2e4","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c7c6","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","c6c7","c6d2","c6e2","2.385800","1.993913","1.904787","1","1","1","1","1"
"0","Null","d2d4","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d7d5","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","d7d5","d7h1","d7g1","3.301950","1.700827","1.700827","1","1","1","1","1"
"0","Null","e4e5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c6c5","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","c6c5","c6c4","c6h1","2.213432","1.764305","1.700827","1","1","1","1","1"
"0","Null","g1f3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c8g4","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","c8g4","c8g3","c8h1","3.103800","1.829165","1.700827","1","1","1","1","1"
"0","Null","f1b5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b8c6","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","c6b8","c6b7","c6b5","2.283538","1.836515","1.795253","1","1","1","1","1"
"0","Null","d4c5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7e6","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","e6e7","e6e5","e6h1","2.540049","1.776605","1.700827","1","1","1","1","1"
"0","Null","b2b4","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a7a6","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","a6a7","a6a8","a6h1","2.559992","1.788658","1.700827","1","1","1","1","1"
"0","Null","b5c6","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b7c6","1","1","1","1","1","0","1","1","0","1","0.474292","-173.893906","1","b7c6","b7h1","b7c5","2.647104","1.788051","1.788051","1","1","1","1","1"
"0","Null","b1d2","0","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a6a5","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","a6a5","a6h7","a6d5","2.474904","1.921999","1.908273","1","1","1","1","1"
"0","Null","c2c3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a5b4","1","1","1","1","1","0","1","1","0","1","0.474292","-173.893906","1","b4a5","b4b3","b4g4","2.660574","2.251163","1.874414","1","1","1","1","1"
"0","Null","c3b4","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g8e7","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","g8e7","g8e8","g8h1","2.288120","1.879932","1.700827","1","1","1","1","1"
"0","Null","d1b3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7g6","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","g6e7","g6e8","g6g7","2.337004","1.897468","1.778029","1","1","1","1","1"
"0","Null","wK","1","1","0","1","1","0","1","1","1","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g6e5","1","1","1","1","1","0","1","1","0","1","0.474292","-173.893906","1","g6e5","g6e4","g6e6","2.624431","1.965549","1.816887","1","1","1","1","1"
"0","Null","f3e5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g4h5","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","h5g4","h5h1","h5g1","3.377405","1.700827","1.700827","1","1","1","1","1"
"0","Null","f1e1","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d8c7","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","c7d8","c7c8","c7c6","3.146167","2.003628","1.951264","1","1","1","1","1"
"0","Null","c1b2","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a8b8","1","1","0","1","1","0","1","1","0","1","0.474292","-173.893906","1","a8b8","a8h1","a8g1","2.156202","1.700827","1.700827","1","1","1","1","1"
