"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","1","g1h1","1","1","0","1","1","0","1","1","0","1","0.189720","0.264034","1","g1h1","g1d7","g1f1","2.201364","1.753269","1.700827","1","1","1","1","1"
"0","Null","e7f7","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a2b4","1","1","1","1","1","0","1","1","0","1","0.189720","0.264034","1","b4a2","b4h1","b4g1","2.343827","1.700827","1.700827","1","1","1","1","1"
"0","Null","b7e4","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b1d1","1","1","0","1","1","0","1","1","0","1","0.189720","0.264034","1","b1d1","b1e1","b1e4","2.870716","1.853999","1.828171","1","1","1","1","1"
"0","Null","f3h2","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","h1h2","1","1","1","1","1","0","1","1","0","1","0.189720","0.264034","1","h2h1","h2f6","h2f5","2.190596","2.044577","1.875890","1","1","1","1","1"
"0","Null","f7h5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","h2g1","1","1","0","1","1","0","1","1","0","1","0.189720","0.264034","1","h2g1","h2h1","h2e4","3.102743","1.844478","1.813282","1","1","1","1","1"
"0","Null","h5h1","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
