"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","0","e2e4","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7e5","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","e5e7","e5e4","e7e4","3.284116","2.317126","2.199589","1","1","1","1","1"
"0","Null","g1f3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d7d6","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","d7d6","d7h1","d7g1","2.324959","1.700827","1.700827","1","1","1","1","1"
"0","Null","d2d4","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","f7f6","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","f7f6","f7h1","f7g1","2.296700","1.700827","1.700827","1","1","1","1","1"
"0","Null","f1c4","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g8e7","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","g8e7","g8e8","g8h1","2.244482","1.781195","1.700827","1","1","1","1","1"
"0","Null","d4e5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","f6e5","1","1","1","1","1","0","1","1","0","1","0.094860","-176.362839","1","e5f6","e5h1","e5g1","2.480309","1.700827","1.700827","1","1","1","1","1"
"0","Null","f3g5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","h7h6","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","h7h6","h7h1","h7g1","2.358819","1.700827","1.700827","1","1","1","1","1"
"0","Null","g5f7","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d8d7","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","d7d8","d7h1","d7g1","2.299946","1.700827","1.700827","1","1","1","1","1"
"0","Null","f7h8","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d7g4","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","g4d7","g4g3","g4g5","3.112676","1.777212","1.770294","1","1","1","1","1"
"0","Null","c4f7","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e8d8","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","e8d8","e8e7","e8h1","2.183630","1.747514","1.700827","1","1","1","1","1"
"0","Null","d1g4","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c8g4","1","1","1","1","1","0","1","1","0","1","0.094860","-176.362839","1","c8g4","c8h1","c8g1","3.230121","1.700827","1.700827","1","1","1","1","1"
"0","Null","h2h3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g4d7","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","d7g4","d7h1","d7g1","3.355696","1.700827","1.700827","1","1","1","1","1"
"0","Null","h8g6","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7g6","1","1","1","1","1","0","1","1","0","1","0.094860","-176.362839","1","g6e7","g6h1","g6g1","2.453294","1.700827","1.700827","1","1","1","1","1"
"0","Null","f7g6","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d7e8","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","d7e8","d7h1","d7g1","3.320027","1.700827","1.700827","1","1","1","1","1"
"0","Null","g6e8","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d8e8","1","1","1","1","1","0","1","1","0","1","0.094860","-176.362839","1","e8d8","e8e1","bQ","2.622316","1.821697","1.821492","1","1","1","1","1"
"0","Null","b1c3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b8c6","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","c6b8","c6h1","c6g1","2.269959","1.700827","1.700827","1","1","1","1","1"
"0","Null","c1e3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c6d4","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","c6d4","c6d3","c6d5","2.377646","1.849856","1.846501","1","1","1","1","1"
"0","Null","wQ","1","1","0","1","1","0","1","1","1","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","c7c5","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","c5c7","c5h1","c5g1","3.305850","1.700827","1.700827","1","1","1","1","1"
"0","Null","c3d5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","a8d8","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","a8d8","a8h1","a8g1","2.325067","1.700827","1.700827","1","1","1","1","1"
"0","Null","c2c3","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","d4c2","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","18","d4f4","d4d5","d4d3","2.347123","2.217093","2.183878","1","1","1","1","1"
"0","Null","c1c2","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","f8e7","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","e7f8","e7e8","f8e8","3.342799","2.082568","2.023714","1","1","1","1","1"
"0","Null","c2d2","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","e7g5","1","1","0","1","1","0","1","1","0","1","0.094860","-176.362839","1","g5e7","g5e8","g5g6","3.326578","2.008545","1.977097","1","1","1","1","1"
"0","Null","e3g5","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","h6g5","1","1","1","1","1","0","1","1","0","1","0.094860","-176.362839","1","g5h6","g5h1","g5g1","2.346534","1.700827","1.700827","1","1","1","1","1"
